TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,80,75,5,0,27042022-041257
red,machine,xbot2,0,0,0,0,27042022-041257
red,machine,xbot3,0,0,0,0,27042022-041257
red,machine,xbot4,0,0,0,0,27042022-041257
blue,machine,ybot1,100,90,10,0,27042022-041257
blue,machine,ybot2,0,0,0,0,27042022-041257
blue,machine,ybot3,0,0,0,0,27042022-041257
blue,machine,ybot4,0,0,0,0,27042022-041257
red,machine,xbot1,70,60,10,0,27042022-041257
red,machine,xbot2,0,0,0,0,27042022-041257
red,machine,xbot3,0,0,0,0,27042022-041257
red,machine,xbot4,0,0,0,0,27042022-041257
blue,machine,ybot1,100,75,25,0,27042022-041257
blue,machine,ybot2,0,0,0,0,27042022-041257
blue,machine,ybot3,0,0,0,0,27042022-041257
blue,machine,ybot4,0,0,0,0,27042022-041257
