TEAM,AI TYPE,NAME,TOTAL,CAPTURES,DEFENDS,KILLS,DATE/TIME
==============================================
red,machine,xbot1,15,15,0,0,26042022-234836
red,machine,xbot2,0,0,0,0,26042022-234836
red,machine,xbot3,0,0,0,0,26042022-234836
red,machine,xbot4,0,0,0,0,26042022-234836
blue,machine,ybot1,100,15,85,0,26042022-234836
blue,machine,ybot2,0,0,0,0,26042022-234836
blue,machine,ybot3,0,0,0,0,26042022-234836
blue,machine,ybot4,0,0,0,0,26042022-234836
